Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Citharidae,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,68,0,12,517,0.678284312,0.158629993,0.529317955,0.55628008,0.59385425,0.655114629,0.751588628,0.93320845,0.999658079,195.5824251,0.097051577,153.2938157,160.149211,183.8301565,199.9987157,212.2392634,219.2186929,221.6159492,33.16512265,0.062892956,29.2744674,30.30674811,31.68293639,32.80660682,34.64511586,37.43102201,38.31035032
Clupea pallasii,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,432,0,432,135,0.691456353,0.189088053,0.501563432,0.508713213,0.59575121,0.699956983,0.802406742,0.934843259,0.983014238,617.6732087,0.000518925,617.1442653,617.1779466,617.3983759,617.6717556,617.904665,618.1969002,618.3093377,106.7735161,0.189062915,77.43114223,78.53260156,92.00711955,108.1543779,123.9107233,144.4784571,151.7534533
Hemiramphus balao,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,71,0,65,2996,0.808420065,0.151365302,0.530075434,0.60982663,0.72884182,0.828625287,0.919881697,0.983857975,0.999943011,243.9986164,0.10342874,183.4029148,200.3476843,227.3046744,248.9192879,266.1469628,278.6265407,281.498078,49.31334433,0.13018645,37.19065822,40.37345722,44.80278248,48.62424817,53.91871345,62.57315292,69.95413376
Gymnocephalus cernuus,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,319,0,319,1931,0.800084101,0.163800962,0.503780441,0.585901056,0.716439433,0.823621792,0.91942673,0.983367875,0.999836419,502.9054555,0.02530592,468.2160821,479.4348459,494.6536417,505.3508228,513.6116285,519.6510272,521.002007,100.5916649,0.151856831,65.60530832,75.52548822,91.17844409,103.0794291,114.0127037,122.9387498,129.732664
Diplodus annularis,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,57,0,57,2847,0.819633082,0.143079538,0.542291803,0.620990249,0.743170551,0.842724924,0.925379119,0.984372922,0.999983434,209.2005338,0.109534952,154.4349188,169.976065,193.5034932,213.5716813,229.5255294,240.4438013,243.4799884,42.86691955,0.129682176,32.96160125,35.6216113,38.64397861,42.29312034,47.19996463,54.09906822,60.27648606
Mugil incilis,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,88,0,87,2819,0.822007547,0.140693528,0.55206212,0.628461148,0.745063801,0.843671236,0.926370623,0.982346273,0.9999247,316.5503804,0.085648874,248.8681096,269.6624034,297.869089,321.3294806,340.1377226,354.0088144,357.3248927,65.05170039,0.123606858,49.19418906,53.55443856,59.38726517,64.38275644,71.23614851,80.95091854,88.80285932
Grammoplites suppositus,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,98,0,48,1579,0.768239929,0.149283289,0.53651181,0.59644574,0.688941709,0.77222463,0.86653115,0.970045593,0.999949389,212.630433,0.090219993,173.0741316,182.7332037,197.7018802,213.8076167,229.7197109,242.318048,245.4966078,40.83779721,0.077068006,32.84314229,35.35460454,38.72641045,41.22780549,43.39805745,45.54923176,47.14168718
Acanthurus sohal,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,62,0,51,3047,0.816480353,0.144337401,0.539133229,0.618233996,0.740217781,0.839752664,0.920251569,0.983575847,0.999937351,211.9614389,0.108864031,157.1277616,173.2131268,196.0564391,216.0510597,232.4697987,244.8642428,247.5450969,43.26558759,0.129206236,33.33210687,35.78811203,39.04488648,42.74297191,47.50530751,54.7041312,59.28173855
Petromyzontidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,99,0,46,1121,0.64101792,0.083426513,0.515526341,0.548957046,0.605176549,0.646664011,0.684456758,0.722086895,0.779874245,160.2853059,0.015042635,153.0132953,155.9456768,158.6168622,160.5873885,162.2826108,163.5380298,163.8311729,25.68643833,0.074066751,21.11414604,22.33216208,24.40634019,25.93064561,27.36528723,28.32148578,29.83278202
Ctenolabrus rupestris,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,181,0,181,2336,0.827779906,0.137884124,0.552403422,0.635417649,0.755602353,0.849713095,0.927438192,0.988675055,0.999851672,507.5474341,0.051935688,436.8577788,461.5329352,489.0169562,512.0137166,529.6757322,543.4366334,546.2840425,105.0343918,0.120244219,75.37359248,84.46359035,96.76088286,106.167488,114.7468594,126.0635733,136.3310286
